고유번호,법정동코드,공시지가,원천시도시군구코드
4413110900102040000,4413110900,1309000,44130
4413110900102100000,4413110900,109600,44130
4413110900102140000,4413110900,481000,44130
4413110900102160000,4413110900,1213000,44130
4413110900102160000,4413110900,1080000,44130
4413110900102180000,4413110900,483900,44130
4413110900102180000,4413110900,483900,44130
4413110900102180000,4413110900,33100,44130
4413110900102300000,4413110900,575000,44130
4413110900102310000,4413110900,1124000,44130
4413110900102320000,4413110900,1079000,44130
4413110900102410000,4413110900,546200,44130
4413110900102890000,4413110900,1203000,44130
4413110900103410000,4413110900,1199000,44130
4413110900103630000,4413110900,1014000,44130
4413111000100030000,4413111000,67200,44130
4413111000100030000,4413111000,37600,44130
4413111000100080000,4413111000,126100,44130
4413111000100110000,4413111000,307000,44130
4413111000100320000,4413111000,111000,44130
4413111000100550000,4413111000,20100,44130
4413111000100600000,4413111000,383400,44130
4413111000100960000,4413111000,338000,44130
4413111000100980000,4413111000,192700,44130
4413111000101020000,4413111000,51400,44130
4413111000101360000,4413111000,640300,44130
4413111000101450000,4413111000,490300,44130
4413111000101600000,4413111000,479800,44130
4413111000101880000,4413111000,458500,44130
4413111000102100000,4413111000,416900,44130
4413111000102140000,4413111000,449800,44130
4413111000102190000,4413111000,353400,44130
4413111000102320000,4413111000,542700,44130
4413111000102390000,4413111000,208500,44130
4413111000102700000,4413111000,212900,44130
4413111000102860000,4413111000,925200,44130
4413111000103410000,4413111000,545600,44130
4413111000103540000,4413111000,344200,44130
4413111000103570000,4413111000,377400,44130
4413111000103580000,4413111000,218100,44130
4413111000103760000,4413111000,370800,44130
4413111000104440000,4413111000,1992000,44130
4413111000104730000,4413111000,871300,44130
4413111000104790000,4413111000,1090000,44130
4413111100100440000,4413111100,486300,44130
4413111100100610000,4413111100,349000,44130
4413111100100650000,4413111100,353700,44130
4413111100100740000,4413111100,459800,44130
4413111100100740000,4413111100,915200,44130
4413111100100860000,4413111100,188700,44130
4413111100100880000,4413111100,379800,44130
4413111100100960000,4413111100,534600,44130
4413111100101000000,4413111100,380300,44130
4413111100101300000,4413111100,445300,44130
4413111100101430000,4413111100,1381000,44130
4413111100101550000,4413111100,1626000,44130
4413111100102780000,4413111100,548100,44130
